title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
Honda Dio BEG 2016,70000,Honda,Dio,2016,48000,110,Gampaha,https://ikman.lk/en/ad/honda-dio-beg-2016-for-sale-gampaha-1,2026-02-21
Hero Glamour 125cc 2012,200000,Hero,Glamour,2012,100000,125,Kalutara,https://ikman.lk/en/ad/hero-glamour-125cc-2012-for-sale-kalutara,2026-02-21
Aprilia SR 125 2019,315000,Aprilia,SR 125,2019,38600,125,Colombo,https://ikman.lk/en/ad/aprilia-sr-125-sr125-2019-for-sale-colombo,2026-02-21
Honda Dio Mat Colour 2012,315000,Honda,Dio,2012,42000,110,Colombo,https://ikman.lk/en/ad/honda-dio-mat-colour-2012-for-sale-colombo-1,2026-02-21
Yamaha FZ S 2014,585000,Yamaha,FZ S,2014,76000,150,Kandy,https://ikman.lk/en/ad/yamaha-fz-s-2014-for-sale-kandy-535,2026-02-21
Honda PCX 125 2025,1675000,Honda,PCX 125,2025,0,125,Gampaha,https://ikman.lk/en/ad/honda-pcx-125-pcx125-2025-for-sale-gampaha-1,2026-02-21
Bajaj Pulsar NS200 brand new 2026,303145,Bajaj,Pulsar NS200,2026,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-colombo-47,2026-02-21
Honda CD80 2001,100000,Honda,CD80,2001,20000,90,Hambantota,https://ikman.lk/en/ad/honda-cd80-good-2001-for-sale-hambantota,2026-02-21
Honda CD 200 1981,950000,Honda,CD 200,1981,30000,200,Nuwara Eliya,https://ikman.lk/en/ad/honda-cd-200-1981-for-sale-nuwara-eliya,2026-02-21
Bajaj Pulsar 150 2014,400000,Bajaj,Pulsar 150,2014,12345,150,Hambantota,https://ikman.lk/en/ad/bajaj-pulsar-150-2014-for-sale-hambantota-71,2026-02-21
TVS Apache 2017,175000,TVS,Apache,2017,62000,1000,Batticaloa,https://ikman.lk/en/ad/tvs-apache-2017-for-sale-batticaloa-59,2026-02-21
Hero Hunk 160R 2025,850000,Hero,Hunk 160R,2025,12000,160,Puttalam,https://ikman.lk/en/ad/hero-hunk-160r-2025-for-sale-puttalam,2026-02-21
Yamaha Ray ZR 2017,450000,Yamaha,Ray ZR,2017,64700,130,Anuradhapura,https://ikman.lk/en/ad/yamaha-ray-zr-2017-for-sale-anuradhapura-150,2026-02-21
Bajaj Pulsar 220F 2012,537000,Bajaj,Pulsar 220F,2012,65000,220,Anuradhapura,https://ikman.lk/en/ad/bajaj-pulsar-220f-2012-for-sale-anuradhapura,2026-02-21
Bajaj Pulsar NS200 2019,920000,Bajaj,Pulsar NS200,2019,40000,200,Ampara,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2018-2019-for-sale-ampara,2026-02-21
Hero Dash 2017,300000,Hero,Dash,2017,43000,110,Gampaha,https://ikman.lk/en/ad/2017-for-sale-gampaha-3,2026-02-21
Bajaj Boxer 2001,60000,Bajaj,Boxer,2001,100000,100,Kurunegala,https://ikman.lk/en/ad/bajaj-boxer-2001-for-sale-kurunegala-21,2026-02-21
Bajaj CT100 2025,530000,Bajaj,CT100,2025,6000,100,Galle,https://ikman.lk/en/ad/bajaj-ct100-2025-for-sale-galle-38,2026-02-21
Bajaj Pulsar NS200 ES 2025,490110,Bajaj,Pulsar NS200,2025,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-es-2025-for-sale-colombo-13,2026-02-21
Bajaj Pulsar NS200 2015,595000,Bajaj,Pulsar NS200,2015,35000,200,Kegalle,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2015-for-sale-kegalle-12,2026-02-21
Bajaj Pulsar N160 Premium 2025,470110,Bajaj,Pulsar N160,2025,0,160,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2025-for-sale-colombo-644,2026-02-21
Bajaj Pulsar NS200 2018,920000,Bajaj,Pulsar NS200,2018,60000,200,Ampara,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2018-regiterd-for-sale-ampara,2026-02-21
Yamaha Mate V50 1998,55000,Yamaha,Mate,1998,95000,50,Gampaha,https://ikman.lk/en/ad/yamaha-mate-v50-1998-for-sale-gampaha,2026-02-21
Bajaj CT100 ES 2025,184360,Bajaj,CT100,2025,0,100,Colombo,https://ikman.lk/en/ad/bajaj-ct100-es-2025-for-sale-colombo-406,2026-02-21
TVS Ntorq 125 Brand New 2026,99700,TVS,Ntorq 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572,2026-02-21
Honda Dio Mat Colour 2012,315000,Honda,Dio,2012,42000,110,Colombo,https://ikman.lk/en/ad/honda-dio-mat-colour-2012-for-sale-colombo-1,2026-02-21
Yamaha FZ S 2014,585000,Yamaha,FZ S,2014,76000,150,Kandy,https://ikman.lk/en/ad/yamaha-fz-s-2014-for-sale-kandy-535,2026-02-21
Honda PCX 125 2025,1675000,Honda,PCX 125,2025,0,125,Gampaha,https://ikman.lk/en/ad/honda-pcx-125-pcx125-2025-for-sale-gampaha-1,2026-02-21
Bajaj Pulsar NS200 brand new 2026,303145,Bajaj,Pulsar NS200,2026,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-colombo-47,2026-02-21
Honda CD80 2001,100000,Honda,CD80,2001,20000,90,Hambantota,https://ikman.lk/en/ad/honda-cd80-good-2001-for-sale-hambantota,2026-02-21
Honda CD 200 1981,950000,Honda,CD 200,1981,30000,200,Nuwara Eliya,https://ikman.lk/en/ad/honda-cd-200-1981-for-sale-nuwara-eliya,2026-02-21
Bajaj Pulsar 150 2014,400000,Bajaj,Pulsar 150,2014,12345,150,Hambantota,https://ikman.lk/en/ad/bajaj-pulsar-150-2014-for-sale-hambantota-71,2026-02-21
TVS Apache 2017,175000,TVS,Apache,2017,62000,1000,Batticaloa,https://ikman.lk/en/ad/tvs-apache-2017-for-sale-batticaloa-59,2026-02-21
Hero Hunk 160R 2025,850000,Hero,Hunk 160R,2025,12000,160,Puttalam,https://ikman.lk/en/ad/hero-hunk-160r-2025-for-sale-puttalam,2026-02-21
Yamaha Ray ZR 2017,450000,Yamaha,Ray ZR,2017,64700,130,Anuradhapura,https://ikman.lk/en/ad/yamaha-ray-zr-2017-for-sale-anuradhapura-150,2026-02-21
