title,price,make,model,yom,mileage,engine_cc,location
Bajaj CT100 ct 100 2025,185000,Bajaj,Ct100,2025,0,100,Colombo
TVS Ntorq 125 Brand New 2026,168500,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Raider 125 Brand New 2025,188500,Tvs,Raider 125,2025,0,125,Kalutara
TVS Apache RTR 150 2017,285000,Tvs,Apache,2017,34522,150,Gampaha
Hero super cub 90 2015,99000,Hero,Other Model,2015,36225,90,Gampaha
Honda PCX160 2025,1800000,Honda,Pcx160,2025,25,160,Colombo
Loncin Super Cub 90 2016,145000,Loncin,Other Model,2016,35252,90,Gampaha
Yamaha Libero 100 2006,78000,Yamaha,Other Model,2006,98258,100,Gampaha
Bajaj CT100 2019,460000,Bajaj,Ct100,2019,36500,100,Mannar
Bajaj Pulsar 150 2017,650000,Bajaj,Pulsar 150,2017,24000,150,Colombo
TVS Ntorq Brand New 2025,149500,Tvs,Ntorq,2025,0,125,Gampaha
Bajaj Pulsar 150 2004,198000,Bajaj,Pulsar 150,2004,65000,150,Gampaha
Yamaha RayZR 2017,375000,Yamaha,Rayzr,2017,52000,113,Gampaha
Honda MD 90 2020,325000,Honda,Md,2020,50280,90,Jaffna
Yamaha Fzs V4 2025,1229900,Yamaha,Fzs V4,2025,0,149,Colombo
TVS Ntorq 125 Brand New 2021,158500,Tvs,Ntorq 125,2021,0,125,Colombo
Honda PCX 125 2025,1800000,Honda,Pcx 125,2025,0,125,Kandy
Bajaj CT100 2006,215000,Bajaj,Ct100,2006,55000,100,Monaragala
Bajaj Pulsar N160 Premium 2025,874950,Bajaj,Pulsar N160,2025,0,160,Colombo
Honda Dio 2019,595000,Honda,Dio,2019,55724,110,Gampaha
Bajaj Chetak Electric 2026,338475,Bajaj,Chetak Electric,2026,0,100,Gampaha
TVS 49 cc 2017,135000,Tvs,Other Model,2017,25000,49,Kurunegala
Hero XOOM 125R 2026,414950,Hero,Xoom 125R,2026,0,125,Colombo
Bajaj Pulsar NS200 2025,515000,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Yamaha Ray ZR 2025,719900,Yamaha,Ray Zr,2025,0,113,Gampaha
Hero HF Deluxe 100HF 2026,288950,Hero,Hf Deluxe,2026,0,100,Colombo
Bajaj XCD 125 2009,155000,Bajaj,Xcd 125,2009,82255,125,Gampaha
Hero Xoom I3s EFI 2026,357950,Hero,Xoom I3S,2026,0,110,Colombo
TVS Metro 100 2016,248000,Tvs,Metro,2016,38255,100,Gampaha
Yamaha RayZR Street rally 2026,719900,Yamaha,Rayzr,2026,0,125,Gampaha
Hero XOOM 125R 125 2026,414950,Hero,Xoom 125R,2026,0,125,Colombo
TVS Scooty Pep Gray 2018,75000,Tvs,Scooty Pep,2018,26000,90,Colombo
Bajaj Boxer CT Delux 2003,165000,Bajaj,Boxer,2003,155580,100,Kegalle
Yamaha FZs V2 2019,870000,Yamaha,Fzs V2,2019,41650,150,Galle
Bajaj V15 2015,325000,Bajaj,V15,2015,73000,135,Kalutara
Bajaj CT100 2025,185610,Bajaj,Ct100,2025,0,100,Colombo
Bajaj Pulsar NS200 2026,1079950,Bajaj,Pulsar Ns200,2026,0,200,Kalutara
Honda Grazia 125 DX 2019,115000,Honda,Grazia 125,2019,34000,125,Colombo
Bajaj Discover 125 2026,250000,Bajaj,Discover 125,2026,125,160,Gampaha
TVS Streak 2012,210000,Tvs,Streak,2012,100000,90,Trincomalee
Bajaj Discover 150 2012,260000,Bajaj,Discover,2012,90000,150,Kurunegala
Bajaj Pulsar NS200 2026,490000,Bajaj,Pulsar Ns200,2026,0,200,Gampaha
Honda Dio 2018,562000,Honda,Dio,2018,41000,110,Jaffna
Yamaha Mate 90 1990,135000,Yamaha,Mate,1990,80000,90,Kurunegala
Bajaj Discover 125 Disk 2018,65000,Bajaj,Discover 125,2018,41000,125,Colombo
Honda Dio 2017,500000,Honda,Dio,2017,35000,110,Kandy
Bajaj Platina 2018,430000,Bajaj,Platina,2018,57800,100,Galle
Hero Passion pro 100 2011,270000,Hero,Passion Pro,2011,29501,100,Batticaloa
TVS Ntorq Disk 2019,560000,Tvs,Ntorq,2019,26000,125,Colombo
Bajaj Discover 125 2014,345000,Bajaj,Discover 125,2014,38000,1288,Anuradhapura
KTM Duke 125 2020,840000,Ktm,Duke 125,2020,58000,125,Mannar
Bajaj Platina 100 ES 2015,325000,Bajaj,Platina 100 Es,2015,37343,100,Kalutara
TVS Scooty Pep+ 2017,350000,Tvs,Scooty Pep+,2017,93600,90,Trincomalee
Honda Activa 2014,355000,Honda,Activa,2014,50000,110,Jaffna
Hero Pleasure 2015,280000,Hero,Pleasure,2015,72500,100,Gampaha
Honda CB4 2016,3350000,Honda,Cb4,2016,40758,400,Matale
Honda Dio uced 2016,85000,Honda,Dio,2016,46500,110,Kalutara
Bajaj Pulsar N160 Usd Premium DualABS 2025,457975,Bajaj,Pulsar N160,2025,0,160,Colombo
TVS Sport 110 2026,131100,Tvs,Sport,2026,0,110,Colombo
Bajaj CT100 Brand New 2026,149045,Bajaj,Ct100,2026,0,100,Gampaha
TVS Ntorq Disk 2019,140000,Tvs,Ntorq,2019,26000,125,Colombo
Bajaj CT100 Brand new 2026,149045,Bajaj,Ct100,2026,0,100,Colombo
Bajaj Pulsar 150 2012,400000,Bajaj,Pulsar 150,2012,70000,150,Galle
Yamaha Ray 2013,330000,Yamaha,Ray,2013,36000,110,Kandy
Honda Grazia 125 Red 2019,520000,Honda,Grazia,2019,91500,125,Gampaha
Bajaj Boxer 2000,145000,Bajaj,Boxer,2000,95870,100,Gampaha
Bajaj CT100 2016,480000,Bajaj,Ct100,2016,80000,100,Ratnapura
Bajaj Pulsar 150 2011,390000,Bajaj,Pulsar 150,2011,43000,150,Ratnapura
Honda PCX 125 2014,790000,Honda,Pcx 125,2014,90000,125,Gampaha
Hero Pleasure uced 2013,300000,Hero,Pleasure,2013,66900,110,Kalutara
TVS Star Sport 2008,155000,Tvs,Star Sport,2008,40000,100,Matara
Honda Dio 2019,570000,Honda,Dio,2019,35000,110,Kandy
Bajaj Discover 135 2008,325000,Bajaj,Discover,2008,65000,135,Kurunegala
Honda Dio 48 2026,230000,Honda,Dio,2026,5000,48,Gampaha
Hero XOOM 125R 2025,249000,Hero,Xoom 125R,2025,0,125,Colombo
TVS Apache 160 2008,250000,Tvs,Apache,2008,55241,160,Kurunegala
Bajaj Discover 135 2008,320000,Bajaj,Discover,2008,30714,135,Anuradhapura
Hero Hunk 160R 2025,860000,Hero,Hunk 160R,2025,1469,160,Gampaha
Honda CB Shine 2016,400000,Honda,Cb Shine,2016,15639,125,Trincomalee
TVS Star City Plus 2006,125000,Tvs,Star City Plus,2006,50000,100,Colombo
TVS Raider 125 brand new 2025,259000,Tvs,Raider 125,2025,0,125,Colombo
Honda Dio 2017,545000,Honda,Dio,2017,30000,110,Kandy
TVS Raider 125 2021,259000,Tvs,Raider 125,2021,0,125,Colombo
Hero Xtreme 125R Brand new 2025,233000,Hero,Xtreme 125R,2025,0,125,Colombo
Honda Dio 2019,575000,Honda,Dio,2019,35000,110,Kandy
Honda Dio 2017,545000,Honda,Dio,2017,36000,110,Kandy
Bajaj Pulsar 180 2007,260000,Bajaj,Pulsar 180,2007,150000,180,Badulla
Bajaj CT100 ES Brand New 2026,174000,Bajaj,Ct100,2026,0,100,Kegalle
Honda Dio Black /White 2015,495000,Honda,Dio,2015,29638,110,Puttalam
Hero Pleasure White 2010,255000,Hero,Pleasure,2010,29852,90,Puttalam
Hero Pleasure Black 2011,275000,Hero,Pleasure,2011,29587,90,Puttalam
Bajaj Pulsar 150 2006,140000,Bajaj,Pulsar 150,2006,47000,150,Kandy
Demak DTM 2013,235000,Demak,Dtm,2013,60000,150,Kandy
Hero Dash 2015,260000,Hero,Dash,2015,34500,118,Kurunegala
Demak DTM 2013,200000,Demak,Dtm,2013,12315,150,Kandy
Bajaj CT100 Brand New 2026,174000,Bajaj,Ct100,2026,0,100,Gampaha
TVS Ntorq 125 2026,55900,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 CT 2006,248000,Bajaj,Ct100,2006,45000,100,Colombo
Hero Pleasure dawn pemant 100000 2013,297000,Hero,Pleasure,2013,39888,100,Gampaha
Bajaj Discover 125 2011,235000,Bajaj,Discover 125,2011,67000,125,Ratnapura
Bajaj XCD 135 2009,200000,Bajaj,Xcd,2009,45000,135,Matara
Bajaj CT100 2013,355000,Bajaj,Ct100,2013,38110,99,Gampaha
Bajaj CT100 Brand New 2026,569950,Bajaj,Ct100,2026,0,100,Kegalle
Bajaj Discover 125 Red 2026,245000,Bajaj,Discover 125,2026,0,125,Kegalle
TVS Wego 2016,460000,Tvs,Wego,2016,34500,110,Jaffna
Yamaha FZ V 3 2019,235000,Yamaha,Fz,2019,32000,150,Colombo
Singer Lima ELO7 2025,420000,Singer Lima,Elo7,2025,538,1500,Kegalle
Honda Dio 2017,495000,Honda,Dio,2017,41000,110,Kandy
Yamaha Ray ZR 2025,824900,Yamaha,Ray Zr,2025,0,125,Colombo
TVS Wego 110 2014,350000,Tvs,Wego 110,2014,89972,110,Puttalam
Bajaj Pulsar 150 used 2018,140000,Bajaj,Pulsar 150,2018,43000,150,Anuradhapura
Bajaj Discover 125 Blue 2026,245000,Bajaj,Discover 125,2026,0,125,Kegalle
TVS Scooty Pep+ 2006,178000,Tvs,Scooty Pep+,2006,72500,90,Badulla
Bajaj Discover 125 2026,245000,Bajaj,Discover 125,2026,0,125,Kurunegala
Bajaj Pulsar 150 2012,345000,Bajaj,Pulsar 150,2012,80000,150,Kalutara
