title,price,make,model,yom,mileage,engine_cc,location
Honda Grazia 2019,131000,Honda,Grazia,2019,43000,125,Gampaha
Bajaj CT100 Brand New 2025,141000,Bajaj,Ct100,2025,0,100,Kegalle
TVS Ntorq Brand new 2026,149900,Tvs,Ntorq,2026,0,125,Gampaha
TVS Ntorq Brand New 2026,149900,Tvs,Ntorq,2026,0,125,Gampaha
Honda Dio 2015,70000,Honda,Dio,2015,54000,100,Gampaha
Bajaj CT100 2005,140000,Bajaj,Ct100,2005,34000,100,Kandy
Yamaha FZ S VER 2 2018,265000,Yamaha,Fz S,2018,35000,150,Colombo
Hero Pleasure 2013,100000,Hero,Pleasure,2013,54000,100,Gampaha
Bajaj Pulsar N160 Premium 2026,416500,Bajaj,Pulsar N160,2026,0,160,Colombo
Bajaj Pulsar NS200 Efi Dual ABS New 2025,509975,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj Pulsar N160 USD Premium New 2025,457975,Bajaj,Pulsar N160,2025,0,160,Colombo
Suzuki GN 125 2023,480000,Suzuki,Gn 125,2023,51000,125,Gampaha
Bajaj Discover 125 2026,251000,Bajaj,Discover 125,2026,0,125,Colombo
Honda Navi 2019,388000,Honda,Navi,2019,34000,110,Galle
Bajaj Platina 2013,255000,Bajaj,Platina,2013,52100,100,Gampaha
Bajaj Pulsar N160 2026,955950,Bajaj,Pulsar N160,2026,0,160,Kalutara
TVS Stryker 125 2018,330000,Tvs,Stryker 125,2018,796760,125,Galle
Bajaj Pulsar N125 2026,719950,Bajaj,Pulsar N125,2026,0,125,Kalutara
TVS Ntorq 125 Brand New 2026,199700,Tvs,Ntorq 125,2026,0,125,Kalutara
TVS Sport 110 2026,129600,Tvs,Sport,2026,0,110,Kalutara
Hero Hunk 2018,490000,Hero,Hunk,2018,41500,150,Jaffna
TVS Ntorq 125 2019,520000,Tvs,Ntorq 125,2019,36000,125,Gampaha
Bajaj Pulsar NS200 Efi DUAL ABS NEW 2026,509975,Bajaj,Pulsar Ns200,2026,0,200,Colombo
Dyno Scooby 125 2024,285000,Dyno,Scooby 125,2024,14000,125,Gampaha
Bajaj Boxer 2012,240000,Bajaj,Boxer,2012,47000,100,Gampaha
Bajaj Pulsar N125 Efi Disc New 2025,327475,Bajaj,Pulsar N125,2025,0,125,Colombo
TVS Wego 2013,335000,Tvs,Wego,2013,47000,110,Gampaha
Hero Pleasure 2014,385000,Hero,Pleasure,2014,55000,100,Puttalam
Hero Glamour 2009,160000,Hero,Glamour,2009,52000,125,Kegalle
TVS Wego 2011,297000,Tvs,Wego,2011,70000,110,Gampaha
TVS XL 100 2025,100000,Tvs,Xl 100,2025,6500,100,Monaragala
Hero CD 100 2016,220000,Hero,Cd 100,2016,70000,100,Batticaloa
TVS Flame 2009,90000,Tvs,Flame,2009,100000,125,Ratnapura
Yamaha Ray ZR 2019,530000,Yamaha,Ray Zr,2019,27050,110,Jaffna
Yamaha Ray ZR 2026,270000,Yamaha,Ray Zr,2026,0,125,Gampaha
TVS Ntorq 125 BRAND NEW 2026,156980,Tvs,Ntorq 125,2026,0,125,Colombo
Hero Passion Plus 2009,175000,Hero,Passion Plus,2009,14000,90,Jaffna
Bajaj Pulsar NS200 2026,514000,Bajaj,Pulsar Ns200,2026,0,200,Gampaha
Hero Pleasure 2011,230000,Hero,Pleasure,2011,60000,110,Anuradhapura
Honda Dio 2018,575000,Honda,Dio,2018,60000,110,Galle
Bajaj Discover 125M 2015,340000,Bajaj,Discover,2015,45000,125,Kandy
